from,to,number of articles,price_open,price_close,change,change>0
2020/01/03,2020/01/05,24,6945.7,7356.7,5.917330147,5.917330147
2020/01/06,2020/01/08,62,7352.12,8044.44,9.416603646,9.416603646
2020/01/09,2020/01/11,45,8048.94,8016.22,-0.406513156,0.406513156
2020/01/12,2020/01/14,33,8008.1,8813.04,10.05157278,10.05157278
2020/01/15,2020/01/17,76,8813.2,8892.63,0.901261744,0.901261744
2020/01/18,2020/01/20,19,8898.03,8625.17,-3.066521466,3.066521466
2020/01/21,2020/01/23,69,8629.66,8378.44,-2.911122802,2.911122802
2020/01/24,2020/01/26,41,8382.08,8590.48,2.486256395,2.486256395
2020/01/27,2020/01/29,76,8600,9289.18,8.01372093,8.01372093
2020/01/30,2020/02/01,26,9280.83,9377.17,1.038053709,1.038053709
2020/02/02,2020/02/04,33,9379.6,9159.37,-2.34796793,2.34796793
2020/02/05,2020/02/07,51,9168.49,9803.42,6.925131619,6.925131619
2020/02/08,2020/02/10,19,9803.71,9850.01,0.472270192,0.472270192
2020/02/11,2020/02/13,61,9851.99,10228.67,3.823389995,3.823389995
2020/02/14,2020/02/16,34,10229.19,9912.89,-3.09213144,3.09213144
2020/02/17,2020/02/19,42,9914.4,9595.72,-3.214314532,3.214314532
2020/02/20,2020/02/22,59,9589.1,9668.13,0.824164937,0.824164937
2020/02/23,2020/02/25,42,9664.08,9305.4,-3.711475898,3.711475898
2020/02/26,2020/02/28,40,9305.4,8703.84,-6.464633439,6.464633439
2020/02/29,2020/03/02,16,8710,8908.26,2.276234214,2.276234214
2020/03/03,2020/03/05,46,8911.37,9066.65,1.742493017,1.742493017
2020/03/06,2020/03/08,35,9059,8033.7,-11.31802627,11.31802627
2020/03/09,2020/03/11,46,8035.79,7934.57,-1.259614798,1.259614798
2020/03/12,2020/03/14,26,7956.29,5169.37,-35.0278836,35.0278836
2020/03/15,2020/03/17,31,5167.38,5324.99,3.050095019,3.050095019
2020/03/18,2020/03/20,56,5340.95,6210.14,16.27407109,16.27407109
2020/03/21,2020/03/23,20,6207.66,6493.51,4.604794721,4.604794721
2020/03/24,2020/03/26,57,6494.7,6760.72,4.095955163,4.095955163
2020/03/27,2020/03/29,33,6765.15,5870.9,-13.21848,13.21848
2020/03/30,2020/04/01,49,5878.47,6652.07,13.15988684,13.15988684
2020/04/02,2020/04/04,45,6669.95,6879.61,3.143351899,3.143351899
2020/04/05,2020/04/07,26,6887.22,7202.73,4.581093678,4.581093678
2020/04/08,2020/04/10,60,7204.78,6877.03,-4.549063261,4.549063261
2020/04/11,2020/04/13,20,6866.03,6864.22,-0.026361668,0.026361668
2020/04/14,2020/04/16,53,6864.66,7111.67,3.598284547,3.598284547
2020/04/17,2020/04/19,27,7121.35,7126.4,0.070913521,0.070913521
2020/04/20,2020/04/22,52,7124.27,7137.79,0.189773829,0.189773829
2020/04/23,2020/04/25,59,7138.29,7547.56,5.733445965,5.733445965
2020/04/26,2020/04/28,32,7565,7767.79,2.680634501,2.680634501
2020/04/29,2020/05/01,43,7762.07,8832.44,13.78974938,13.78974938
2020/05/02,2020/05/04,17,8836,8882.87,0.53044364,0.53044364
2020/05/05,2020/05/07,41,8889.24,10000,12.49555643,12.49555643
2020/05/08,2020/05/10,35,10008.19,8731.17,-12.75974976,12.75974976
2020/05/11,2020/05/13,54,8740.88,9315.5,6.573937636,6.573937636
2020/05/14,2020/05/16,54,9323.73,9389.07,0.700792494,0.700792494
2020/05/17,2020/05/19,35,9377.79,9787.65,4.370539327,4.370539327
2020/05/20,2020/05/22,60,9776.3,9171.96,-6.181684277,6.181684277
2020/05/23,2020/05/25,18,9171.96,8903.56,-2.926310189,2.926310189
2020/05/26,2020/05/28,48,8903.22,9577.38,7.572091895,7.572091895
2020/05/29,2020/05/31,32,9581.49,9446.19,-1.412097701,1.412097701
2020/06/01,2020/06/03,48,9444.61,9668.99,2.37574659,2.37574659
2020/06/04,2020/06/06,35,9668,9669.85,0.019135292,0.019135292
2020/06/07,2020/06/09,19,9673.08,9776.84,1.072667651,1.072667651
2020/06/10,2020/06/12,61,9782.3,9463.07,-3.263342977,3.263342977
2020/06/13,2020/06/15,18,9465.92,9435.15,-0.32506085,0.32506085
2020/06/16,2020/06/18,54,9435.41,9374.78,-0.64257939,0.64257939
2020/06/19,2020/06/21,33,9374.83,9283.03,-0.979217756,0.979217756
2020/06/22,2020/06/24,47,9287.89,9286.06,-0.019703076,0.019703076
2020/06/25,2020/06/27,40,9286.3,9009.3,-2.982888772,2.982888772
2020/06/28,2020/06/30,25,9008.33,9132.96,1.383497274,1.383497274
2020/07/01,2020/07/03,55,9136.89,9063.08,-0.807824106,0.807824106
2020/07/04,2020/07/06,22,9053.87,9348.22,3.25109594,3.25109594
2020/07/07,2020/07/09,54,9346.9,9234.9,-1.198258246,1.198258246
2020/07/10,2020/07/12,24,9234.91,9306.17,0.77163719,0.77163719
2020/07/13,2020/07/15,60,9304.94,9190.07,-1.234505542,1.234505542
2020/07/16,2020/07/18,42,9191,9177.43,-0.147644435,0.147644435
2020/07/19,2020/07/21,32,9175.7,9391.25,2.349139575,2.349139575
2020/07/22,2020/07/24,54,9395.98,9547.91,1.616968108,1.616968108
2020/07/25,2020/07/27,23,9549.34,11046.19,15.67490528,15.67490528
2020/07/28,2020/07/30,50,11049.4,11112.12,0.567632632,0.567632632
2020/07/31,2020/08/02,27,11110.84,11071.66,-0.352628604,0.352628604
2020/08/03,2020/08/05,46,11074.92,11755.24,6.142888617,6.142888617
2020/08/06,2020/08/08,50,11759.9,11776.9,0.144559052,0.144559052
2020/08/09,2020/08/11,38,11767.93,11392.64,-3.18909103,3.18909103
2020/08/12,2020/08/14,57,11386.5,11779.77,3.4538269,3.4538269
2020/08/15,2020/08/17,17,11771.97,12298.38,4.471723934,4.471723934
2020/08/18,2020/08/20,60,12301.27,11859.37,-3.592312013,3.592312013
2020/08/21,2020/08/23,37,11857.18,11644.65,-1.792416072,1.792416072
2020/08/24,2020/08/26,33,11653.7,11469.3,-1.582330075,1.582330075
2020/08/27,2020/08/29,51,11462.91,11471.71,0.076769337,0.076769337
2020/08/30,2020/09/01,35,11471.71,11923.96,3.94230677,3.94230677
2020/09/02,2020/09/04,59,11919.53,10456.32,-12.2757357,12.2757357
2020/09/05,2020/09/07,10,10460.2,10377.14,-0.794057475,0.794057475
2020/09/08,2020/09/10,60,10377.5,10342.59,-0.336400867,0.336400867
2020/09/11,2020/09/13,30,10341.38,10334.78,-0.06382127,0.06382127
2020/09/14,2020/09/16,59,10338.82,10951.54,5.926401659,5.926401659
2020/09/17,2020/09/19,40,10950.15,11077.22,1.160440725,1.160440725
2020/09/20,2020/09/22,31,11070.84,10534.31,-4.846335057,4.846335057
2020/09/23,2020/09/25,49,10525.72,10689.81,1.558943236,1.558943236
2020/09/26,2020/09/28,23,10694.23,10689.48,-0.044416475,0.044416475
2020/09/29,2020/10/01,65,10681.41,10622.71,-0.549552915,0.549552915
2020/10/02,2020/10/04,30,10611.17,10669.63,0.55092888,0.55092888
2020/10/05,2020/10/07,26,10666.16,10669.14,0.027938827,0.027938827
2020/10/08,2020/10/10,47,10669.1,11301.2,5.924585954,5.924585954
2020/10/11,2020/10/13,33,11300.97,11427.98,1.123885826,1.123885826
2020/10/14,2020/10/16,63,11440.28,11321.86,-1.035114525,1.035114525
2020/10/17,2020/10/19,26,11331.88,11764.14,3.814547983,3.814547983
2020/10/20,2020/10/22,50,11759.2,12983.26,10.40938159,10.40938159
2020/10/23,2020/10/25,28,12983.26,13039.09,0.430015266,0.430015266
2020/10/26,2020/10/28,32,13041.12,13274.73,1.791333873,1.791333873
2020/10/29,2020/10/31,60,13275.82,13816.08,4.069503805,4.069503805
2020/11/01,2020/11/03,38,13799.44,14041.58,1.754708887,1.754708887
2020/11/04,2020/11/06,58,14041.58,15598.09,11.0850061,11.0850061
2020/11/07,2020/11/09,23,15603.28,15332.04,-1.738352449,1.738352449
2020/11/10,2020/11/12,52,15349.32,16300,6.193629425,6.193629425
2020/11/13,2020/11/15,36,16300,15975.49,-1.990858896,1.990858896
2020/11/16,2020/11/18,18,15975.49,17785.95,11.33273533,11.33273533
2020/11/19,2020/11/21,49,17792.96,18725,5.238251533,5.238251533
2020/11/22,2020/11/24,32,18726.43,19160.85,2.319822839,2.319822839
2020/11/25,2020/11/27,43,19175.13,17154.39,-10.53833794,10.53833794
2020/11/28,2020/11/30,13,17160.38,19700.19,14.80042983,14.80042983
2020/12/01,2020/12/03,60,19703.53,19448.4,-1.294844122,1.294844122
2020/12/04,2020/12/06,34,19439.94,19380.58,-0.305350737,0.305350737
2020/12/07,2020/12/09,55,19385.13,18556.64,-4.273842889,4.273842889
2020/12/10,2020/12/12,63,18546.38,18815.63,1.451765789,1.451765789
2020/12/13,2020/12/15,28,18806.83,19434.87,3.339425092,3.339425092
2020/12/16,2020/12/18,79,19434.55,23136.14,19.04644049,19.04644049
2020/12/19,2020/12/21,29,23142.05,22732.01,-1.771839573,1.771839573
2020/12/22,2020/12/24,62,22750.07,23726.28,4.291019764,4.291019764
2020/12/25,2020/12/27,23,23747.22,26259.6,10.57968048,10.57968048
2020/12/28,2020/12/30,11,26242.82,28881.3,10.05410242,10.05410242