from,to,number of articles,price_open,price_close,change
2020-01-03,2020-01-05,24,6945.7,7356.7,
2020-01-06,2020-01-08,62,7352.12,8044.44,
2020-01-09,2020-01-11,45,8048.94,8016.22,
2020-01-12,2020-01-14,33,8008.1,8813.04,
2020-01-15,2020-01-17,76,8813.2,8892.63,
2020-01-18,2020-01-20,19,8898.03,8625.17,
2020-01-21,2020-01-23,69,8629.66,8378.44,
2020-01-24,2020-01-26,41,8382.08,8590.48,
2020-01-27,2020-01-29,76,8600.0,9289.18,
2020-01-30,2020-02-01,26,9280.83,9377.17,
2020-02-02,2020-02-04,33,9379.6,9159.37,
2020-02-05,2020-02-07,51,9168.49,9803.42,
2020-02-08,2020-02-10,19,9803.71,9850.01,
2020-02-11,2020-02-13,61,9851.99,10228.67,
2020-02-14,2020-02-16,34,10229.19,9912.89,
2020-02-17,2020-02-19,42,9914.4,9595.72,
2020-02-20,2020-02-22,59,9589.1,9668.13,
2020-02-23,2020-02-25,42,9664.08,9305.4,
2020-02-26,2020-02-28,40,9305.4,8703.84,
2020-02-29,2020-03-02,16,8710.0,8908.26,
2020-03-03,2020-03-05,46,8911.37,9066.65,
2020-03-06,2020-03-08,35,9059.0,8033.7,
2020-03-09,2020-03-11,46,8035.79,7934.57,
2020-03-12,2020-03-14,26,7956.29,5169.37,
2020-03-15,2020-03-17,31,5167.38,5324.99,
2020-03-18,2020-03-20,56,5340.95,6210.14,
2020-03-21,2020-03-23,20,6207.66,6493.51,
2020-03-24,2020-03-26,57,6494.7,6760.72,
2020-03-27,2020-03-29,33,6765.15,5870.9,
2020-03-30,2020-04-01,49,5878.47,6652.07,
2020-04-02,2020-04-04,45,6669.95,6879.61,
2020-04-05,2020-04-07,26,6887.22,7202.73,
2020-04-08,2020-04-10,60,7204.78,6877.03,
2020-04-11,2020-04-13,20,6866.03,6864.22,
2020-04-14,2020-04-16,53,6864.66,7111.67,
2020-04-17,2020-04-19,27,7121.35,7126.4,
2020-04-20,2020-04-22,52,7124.27,7137.79,
2020-04-23,2020-04-25,59,7138.29,7547.56,
2020-04-26,2020-04-28,32,7565.0,7767.79,
2020-04-29,2020-05-01,43,7762.07,8832.44,
2020-05-02,2020-05-04,17,8836.0,8882.87,
2020-05-05,2020-05-07,41,8889.24,10000.0,
2020-05-08,2020-05-10,35,10008.19,8731.17,
2020-05-11,2020-05-13,54,8740.88,9315.5,
2020-05-14,2020-05-16,54,9323.73,9389.07,
2020-05-17,2020-05-19,35,9377.79,9787.65,
2020-05-20,2020-05-22,60,9776.3,9171.96,
2020-05-23,2020-05-25,18,9171.96,8903.56,
2020-05-26,2020-05-28,48,8903.22,9577.38,
2020-05-29,2020-05-31,32,9581.49,9446.19,
2020-06-01,2020-06-03,48,9444.61,9668.99,
2020-06-04,2020-06-06,35,9668.0,9669.85,
2020-06-07,2020-06-09,19,9673.08,9776.84,
2020-06-10,2020-06-12,61,9782.3,9463.07,
2020-06-13,2020-06-15,18,9465.92,9435.15,
2020-06-16,2020-06-18,54,9435.41,9374.78,
2020-06-19,2020-06-21,33,9374.83,9283.03,
2020-06-22,2020-06-24,47,9287.89,9286.06,
2020-06-25,2020-06-27,40,9286.3,9009.3,
2020-06-28,2020-06-30,25,9008.33,9132.96,
2020-07-01,2020-07-03,55,9136.89,9063.08,
2020-07-04,2020-07-06,22,9053.87,9348.22,
2020-07-07,2020-07-09,54,9346.9,9234.9,
2020-07-10,2020-07-12,24,9234.91,9306.17,
2020-07-13,2020-07-15,60,9304.94,9190.07,
2020-07-16,2020-07-18,42,9191.0,9177.43,
2020-07-19,2020-07-21,32,9175.7,9391.25,
2020-07-22,2020-07-24,54,9395.98,9547.91,
2020-07-25,2020-07-27,23,9549.34,11046.19,
2020-07-28,2020-07-30,50,11049.4,11112.12,
2020-07-31,2020-08-02,27,11110.84,11071.66,
2020-08-03,2020-08-05,46,11074.92,11755.24,
2020-08-06,2020-08-08,50,11759.9,11776.9,
2020-08-09,2020-08-11,38,11767.93,11392.64,
2020-08-12,2020-08-14,57,11386.5,11779.77,
2020-08-15,2020-08-17,17,11771.97,12298.38,
2020-08-18,2020-08-20,60,12301.27,11859.37,
2020-08-21,2020-08-23,37,11857.18,11644.65,
2020-08-24,2020-08-26,33,11653.7,11469.3,
2020-08-27,2020-08-29,51,11462.91,11471.71,
2020-08-30,2020-09-01,35,11471.71,11923.96,
2020-09-02,2020-09-04,59,11919.53,10456.32,
2020-09-05,2020-09-07,10,10460.2,10377.14,
2020-09-08,2020-09-10,60,10377.5,10342.59,
2020-09-11,2020-09-13,30,10341.38,10334.78,
2020-09-14,2020-09-16,59,10338.82,10951.54,
2020-09-17,2020-09-19,40,10950.15,11077.22,
2020-09-20,2020-09-22,31,11070.84,10534.31,
2020-09-23,2020-09-25,49,10525.72,10689.81,
2020-09-26,2020-09-28,23,10694.23,10689.48,
2020-09-29,2020-10-01,65,10681.41,10622.71,
2020-10-02,2020-10-04,30,10611.17,10669.63,
2020-10-05,2020-10-07,26,10666.16,10669.14,
2020-10-08,2020-10-10,47,10669.1,11301.2,
2020-10-11,2020-10-13,33,11300.97,11427.98,
2020-10-14,2020-10-16,63,11440.28,11321.86,
2020-10-17,2020-10-19,26,11331.88,11764.14,
2020-10-20,2020-10-22,50,11759.2,12983.26,
2020-10-23,2020-10-25,28,12983.26,13039.09,
2020-10-26,2020-10-28,32,13041.12,13274.73,
2020-10-29,2020-10-31,60,13275.82,13816.08,
2020-11-01,2020-11-03,38,13799.44,14041.58,
2020-11-04,2020-11-06,58,14041.58,15598.09,
2020-11-07,2020-11-09,23,15603.28,15332.04,
2020-11-10,2020-11-12,52,15349.32,16300.0,
2020-11-13,2020-11-15,36,16300.0,15975.49,
2020-11-16,2020-11-18,18,15975.49,17785.95,
2020-11-19,2020-11-21,49,17792.96,18725.0,
2020-11-22,2020-11-24,32,18726.43,19160.85,
2020-11-25,2020-11-27,43,19175.13,17154.39,
2020-11-28,2020-11-30,13,17160.38,19700.19,
2020-12-01,2020-12-03,60,19703.53,19448.4,
2020-12-04,2020-12-06,34,19439.94,19380.58,
2020-12-07,2020-12-09,55,19385.13,18556.64,
2020-12-10,2020-12-12,63,18546.38,18815.63,
2020-12-13,2020-12-15,28,18806.83,19434.87,
2020-12-16,2020-12-18,79,19434.55,23136.14,
2020-12-19,2020-12-21,29,23142.05,22732.01,
2020-12-22,2020-12-24,62,22750.07,23726.28,
2020-12-25,2020-12-27,23,23747.22,26259.6,
2020-12-28,2020-12-30,11,26242.82,28881.3,