positive,"Bitcoin hits alltime high against gold as haven battle rages "
negative,"The Accused Fraudster Behind the Bitcoin Boom "
positive,"Bitcoin supply squeeze heats up as Grayscale buys nearly 3x the BTC mined in December "
positive,"Best Ways to Buy Bitcoin on Crypto.com "
positive,"'Noxious Poison'  Bitcoin's Market Cap Surpasses Warren Buffet's Berkshire Hathaway Valuation – Finance Bitcoin News "
negative,"How much Bitcoin is left for retail traders; who pays the price of Bitcoin that institutions control? "
positive,"Bitcoin soars past $33,000, its highest ever "
positive,"Bitcoin Climbs Above $33,000 For The First Time Ever "
positive,"How massive Bitcoin buyer activity on Coinbase propelled BTC price past $32K "
positive,"Bitcoin Just Broke $600 Billion—Will It Soon Eclipse Tesla, Facebook, Google, Microsoft, Amazon And Apple? "
positive,"Bitcoin price quickly climbs to $31K, liquidating $100M of shorts "
positive,"Bitcoin Value Leaps Over the $31K Handle, BTC Sees an AllTime Price High in 2021 – Market Updates Bitcoin News "
positive,"Want To Invest In Bitcoin? Check Out These Secure Bitcoin Exchanges "
negative,"Data Shows 78% of the Circulating Bitcoin Supply Is Illiquid, Only 4.2M BTC in Constant Circulation – Economics Bitcoin News "
positive,"BTC to Gold Exchange Rate Surges to New All Time High of 17 Ounces per Bitcoin – Markets and Prices Bitcoin News "
positive,"Pro Football Star Receives Half of His $13 Million Salary in Bitcoin – Featured Bitcoin News "
positive,"Binance CEO Predicts that in 2021 Bitcoin (BTC) and Other Digital Assets will Keep Rising and be at "
positive,"Happy Birthday, Bitcoin! 2021 Is Your Year "
positive,"Day after hitting record high, investors keep betting on Bitcoin "
neutral,"12 years since the Genesis block: A reminder of what Bitcoin is really about "
positive,"Bitcoin Jumps to Record $34,800 Following 800 Percent Surge Since March "
positive,"Cannabis Dealer Forfeits $3 Million in Bitcoin — 6000 More BTC Still Missing – Regulation Bitcoin News "
positive,"From Stocks to Bitcoin, Investors Bet the ‘Everything Rally’ Will Continue "
negative,"Stocks and bitcoin are massive bubbles, longtime bear David Rosenberg warns "
positive,"Bitcoin Soars past $34k as RecordBreaking Rally Continues "
negative,"The Russian Energy Giant Mining Bitcoin With Virtually Free Energy "
positive,"Miami's Mayor Considers Putting Some of City's Treasury Reserves in Bitcoin – Regulation Bitcoin News "
positive,"Can't Keep a Good Dog Down: Meme Token Dogecoin Spiked Over 500% This Year – Altcoins Bitcoin News "
positive,"This Is What Global OpenSource Money Seems Like "
negative,"Bitcoin (BTC USD) Latest News, Quote: Prices Sink With XRP, Ether "
positive,"Bitcoin is skyrocketing. What does it mean for investors? "
positive,"Bitcoin price surge delivers this powerful message to naysayers: expert "
positive,"What's driving the bitcoin mania "
negative,"Bitcoin prices could really go haywire if this happens in 2021 "
negative,"Bitcoin's bubble could burst, warns Anthony Scaramucci. But he's still a megabull "
positive,"Bitcoin is due for a pullback, but institutions will buy the dip, Novogratz says "
positive,"New Year brings glad tidings of the Bitcoin ‘stimmy’ trade "
negative,"Anonymous Bitcoin User Transfers 9,156 BTC Just before the Crash "
positive,"Where Jim Cramer Would Buy Bitcoin After the Dip "
positive,"VanEck Tries To Launch Bitcoin ETF (Again) "
positive,"Kim Dotcom's NextGeneration ContentMonetization Service K.IM Announces Bitcoin Cash Integration "
positive,"How central banks boosted bitcoin "
positive,"Value of Bitcoin and other digital currencies continue meteoric rise "
positive,"Why Bitcoin Believers Could Be Proved Right In 2021 As The Bitcoin Price Continues To Climb "
positive,"Here's how bitcoin could soon be worth $146,000 according to JPMorgan "
positive,"Bitcoin Trades Near AllTime High After Latest Gains "
positive,"7 Misconceptions About Bitcoin "
n,"The New Cycle of Bitcoin Over the Next 4 Years "
positive,"What The Lindy Effect Teaches Us About Bitcoin’s Rally "
positive,"Gamblers Could Use Bitcoin at Slot Machines With New Patent "
positive,"Anthony Scaramucci's SkyBridge Launches Bitcoin Fund "
positive,"CoinDesk Buys TradeBlock, Joining Rush for Bitcoin Analytics "
positive,"Is bitcoin winning over the establishment? "
positive,"The institutional herd is here: Bitcoin volume on CME, LMAX hits new records "
positive,"JPMorgan sees $146,000plus bitcoin price as longterm target "
positive,"Bitcoin hits new highs due to stimulus check investing "
positive,"Bitcoin and Ethereum Price Forecasts 2021: Crypto CEO Sees 100% Upside "
positive,"CleanSpark produced 31 bitcoin after ATL Data Centers acquisition "
positive,"Dipbuying bulls push Bitcoin price to a new alltime high at $36,574 "
positive,"Dreaming Of Becoming A Bitcoin Billionaire? Ask These 5 Simple Questions First "
positive,"Bitcoin (BTC USD) Price, News, Quote: Cryptocurrency Sets Another Record "
positive,"Bitcoin Prices Break Through $36,000 To Reach Their Latest High "
neutral,"2 key Bitcoin price indicators show pro traders are waiting for $36K "
positive,"Bitcoin's record rise near $36,000 mints another $1 billion 'mining' company "
positive,"Bitcoin Price Touches the $37K Zone, Crypto Economy's Market Cap Hits $1 Trillion – Market Updates Bitcoin News "
negative,"Data says only 22% of Bitcoin supply left in circulation as BTC rally 'far from done' "
positive,"Bitcoin could hit US$146,000 as millennials choose crypto over gold, JPMorgan says "
positive,"As bitcoin soars, 'trickle' of corporate cash could turn into a 'torrent,' says Bill Miller "
negative,"Here’s why $100K Bitcoin could arrive ‘within three to eight months’ "
positive,"Regulated Bitcoin ETPs Skyrocket, Coinshares Cites 'Unprecedented Interest from Institutional Investors' – Finance Bitcoin News "
negative,"Gold vs Bitcoin: complete comparison at the start of 2021 "
negative,"Bitcoin Rally Draws FirstTime Buyers In India But Also Fraudsters "
positive,"Bitcoin's Biggest Fans Are Hedge Fund Baby Boomers "
positive,"Bitcoin's biggest fans are hedge fund baby boomers "
positive,"One Bitcoin at $34K now buys one Tesla after Elon Musk has a Dogecoin Christmas "
negative,"Bitcoin hits $40000 for first time, but pullback likely imminent "
positive,"Altcoins and stocks move higher after Bitcoin price rally to $40,000 "
positive,"Bitcoin Continues Its Climb, Soars Above $40,000 For The First Time "
positive,"Bitcoin tops $40,000  just days after passing $30,000 "
positive,"Bitcoin Could Soon Hit $70,000, And That Has Nothing To Do With Currencies "
positive,"Bitcoin (XBT) Prices Reaches $40000 "
positive,"Here's What You Need to Know About Bitcoin's Skyrocketing Value "
positive,"Bitcoin price hits $40,000 less than three weeks after shattering $20K "
negative,"Bitcoin falls 5% to $37507 on Bitstamp exchange "
positive,"Bitcoin is now worth more than a 20ounce gold bar "
positive,"Investment Firm VanEck Files for a Bitcoin ETF Again "
positive,"JPMorgan Predicts $146K Bitcoin Price as Competition With Gold Escalates – Markets and Prices Bitcoin News "
negative,"Bitcoin vs. Tesla: Battle of the bubbles "
positive,"Why Bitcoin's price is at an alltime high "
negative,"Ric Edelman: 12 Predictions for Bitcoin, Other Cryptos in 2021 "
positive,"Grayscale Holds Over 3% of Bitcoin, Sees Pension Interest "
negative,"Fund Manager Bill Miller Lauds BTC Says 'Bitcoin Could Be Rat Poison, and the Rat Could Be Cash' – Finance Bitcoin News "
negative,"BTC/USD Analysis  Bitcoin is in A Razor  Sharp Triangle "
positive,"Visabacked Bitcoin startup to launch Lightningbased global payments app "
negative,"Forget Bitcoin: This Stock Is a Better Buy "
negative,"A Conversation with One of Bitcoin Cash's Most Prolific Developers – Interview Bitcoin News "
negative,"Bitcoin Trader Robbed During an InPerson Transaction, Kicked Out of Car in Hong Kong – Bitcoin News "
positive,"South Korean Gaming Giant Planning to Buy Crypto Exchange Bithumb for $460 Million – Exchanges Bitcoin News "
negative,"Most Bitcoin Is Made in China. Competitors Are Creeping Up. "
positive,"Bill Miller says bitcoin becomes less risky the higher the price goes "
negative,"First Mover: It Might Be Getting 'Silly' as Bitcoin Passes $39K, $40K, $41K "
positive,"Bitcoin Mining Firms Benefit From Soaring Bitcoin Price "
positive,"Bitcoin: a symptom of market mania — or the new gold? "
negative,"Bitcoinbuying algos 'seldom care about price' in 2021, says analyst "
negative,"Altcoins selloff as traders jostle to hold Bitcoin price above $40K "
positive,"Bitcoin's parabolic price surge near $42,000 is the 'mother of all bubbles' "
positive,"Bitcoin advocates revolt against the Trump administration’s frantic crypto regulations "
positive,"When is Bitcoin's macro top? Industry player speculates "
positive,"Broker Touts Exotic Bitcoin Bet to Wring Income From Crypto "
positive,"Cryptocurrency Prices: Bitcoin (BTC XBT USD) Rally Powers Best Week Since 2017 "
negative,"Bitcoin bull run could end if institutions go under, Komodo exec speculates "
positive,"The rise of crypto: Bitcoin sets landmarks but alts can go independent "
positive,"Chamath Palihapitiya sees Bitcoin as insurance against uncertainty "
positive,"Pass The Baton Already: Why Bitcoin Is Poised To Replace Gold "
positive,"Bitcoin is surging to record highs on 'FOMO' and Joe Biden stimulus bets "
positive,"New Bitcoin Quest Contest Gives People a Chance to Locate Crypto Seeds Hidden in Pictures – Bitcoin News "
positive,"Capitol chaos, Bitcoin surge, Neil Young and Iraq’s time keeper "
positive,"SixDigit Bitcoin Prices: StocktoFlow Creator Says BTC Value Model 'On Track Like Clockwork' – Featured Bitcoin News "
negative,"Stock Market Today 1/8/21: Stocks Keep Scrambling Over the Wall of Worry "
negative,"UK brokerage touts exotic Bitcoin bet to wring income from crypto "
negative,"Forget the Bitcoin price! I'm buying UK shares in an ISA to make a million "
negative,"Brace for impact? After hitting $42K, Bitcoin price volatility may rise "
negative,"Traders flock into altcoins as Bitcoin price trades sideways "
positive,"Elon Musk, The World’s Richest Person, Wants To Be Paid In Bitcoin "
positive,"Bitcoin’s Wild Weekends Turn Efficient Market Theory Inside Out "
neutral,"The case for and against investing in Bitcoin "
negative,"Bitcoin Mining Difficulty Hits Record High Amid Miner Revenue Surge "
negative,"Soaring bitcoin prices put Central Washington electrical utilities on alert "
positive,"Bitcoin 'Going Through the Roof' Unlike Assets Controlled by Government, Says Former Fed Governor – Bitcoin News "
negative,"As Biden preps $3T stimulus, Bitcoin could be set to erupt "
negative,"Gold Falls Victim To Bitcoin Bulls "
negative,"Are Bitcoin miners bullish? BTC mining difficulty sees biggest bump in 3 months "
positive,"Morgan Stanley Massively Increases Bitcoin Exposure Through Microstrategy – Markets and Prices Bitcoin News "
negative,"Here's why I'm staying away from the bitcoin madness "
positive,"The Crypto Daily – Movers and Shakers – January 10th, 2021 "
negative,"Key Bitcoin price metric signals BTC may be near a local top "
negative,"While Bitcoin's Price Dips in Value, Crypto Assets Like Ethereum and Bitcoin Cash Shine – Market Updates Bitcoin News "
positive,"Bitcoin Bull Thesis  Reasons To Buy "
negative,"Bitcoin prices suffer biggest 2day fall in 9 months "
positive,"Sleeping Bitcoins Worth $40 Million Move Mystery Miner Spends Another 1000 BTC From 2010 Block Rewards – News Bitcoin News "
negative,"New 2021 bitcoin price report forecasts risks and opportunities "
positive,"Bank of America Predicts 'Mother of All Bubbles' for Bitcoin – Markets and Prices Bitcoin News "
negative,"From tech to bitcoin, longtime bull Ed Yardeni worries a meltdown will strike the market "
negative,"Bitcoin Drops Below $35,000 Pulling the Entire Crypto Market Cap Below $1 Trillion "
negative,"Bitcoin plunges more than 20% in three days. It's now in a bear market "
negative,"Bitcoin drops 13% after bullish start to 2021 "
positive,"Bitcoin (BTC) Crypto Price: Novogratz Sees Rebound, Doesn't Regret His Tattoo "
negative,"Bitcoin Is Tumbling Because Regulators Are Paying Attention "
negative,"Bitcoin investors could 'lose all their money,' UK regulator warns "
negative,"Theory of Bitcoin looks at the original website for more Satoshi wisdom "
positive,"Bitcoin Bull Run: OGs on Why This One’s Different "
positive,"Bond king Jeffrey Gundlach says bitcoin is trading like it is in a bubble "
negative,"Bitcoin Data Shows Whales Are Buying the Dip "
positive,"Bitcoin really is an asset like no other, on technical charts "
positive,"NYC bar owner making historic bitcoin bet: 'I've been looking for an exit strategy' "
negative,"JP Morgan Warns of Falling BTC Price With Bitcoin ETF Approval in US – Regulation Bitcoin News "
negative,"Online Platform eToro Called in Leveraged Crypto Trades When Bitcoin Price Peaked "
negative,"Investment Manager Guggenheim Has Some Advice as BTC Sheds Billions — 'Bitcoin's Parabolic Rise Unsustainable' – Markets and Prices Bitcoin News "
negative,"Black Monday: Over $200 Billion Erased From The Market Cap As Bitcoin Crashes Below $33K "
positive,"Fed's Taper Talk Directed at Bitcoin and Tesla "
positive,"500.com Entered into an Agreement to Acquire Bitcoin Mining Machines "
negative,"What the fork happened to Bitcoin? "
positive,"12 years ago, Satoshi Nakamoto sent Hal Finney 10 bitcoins—the first transaction "
positive,"Bitcoin is a good savings 'Plan B' for Black investors, says Isaiah Jackson "
negative,"Bitcoin Braced For A Bombshell From Fed Chair Jerome Powell "
positive,"Bitcoin ‘real’ daily trading volume tops $22B as BTC price recovers "
negative,"Breakingviews  Chancellor: Was I totally wrong about bitcoin? "
negative,"Oil and bitcoin rise, but US small business optimism slides – as it happened "
positive,"Code breaking and Google searches: here's what really drives the Bitcoin price "
negative,"Traders Complain About Exchange Issues and Downtime During Bitcoin's Volatile Price Swings – Exchanges Bitcoin News "
negative,"Word that could screw Australia’s recovery "
negative,"Tens of billions worth of Bitcoin have been locked by people who forgot their key. "
neutral,"The Question Of Bitcoin "
negative,"Bitcoin Will Break Wall Street’s Heart "
negative,"Bitcoin price rally to $37,850 signals that bulls intend to reclaim $40K "
negative,"Bitcoin price stuck at $32K–$35K: Likely outcomes of BTC ‘flush’ drop "
negative,"Bitcoin (BTC USD): eToro Warns Investors it May Limit Buy Orders This Weekend "
negative,"Bitcoin faces regulatory scrutiny after rapid rally "
positive,"Bitcoin Is Unlike Any Other Bubble We've Seen So Far "
negative,"David Rosenberg: Why comparisons between bitcoin and gold are absurd "
positive,"Buy, Sell, or Hold: Bitcoin Will Beat Stocks in 2021 "
positive,"'Thankfully' my son owns Bitcoin, says $140B asset management CEO "
positive,"Understanding Bitcoin’s Scarcity "
positive,"CME Becomes Biggest Bitcoin Futures Trading Platform "
positive,"Digital Bank Now Rewarding Checking Customers With Bitcoin Bonuses "
positive,"Pakistan to Set up Two StateOwned Bitcoin Mining Farms to Help Boost Economy – Mining Bitcoin News "
negative,"Winklevoss Bitcoin Trust ETF: A Useless Financial Product "
negative,"The Hardest Trade: BitcoinTina On Bitcoin "
positive,"Bitcoin prices roar back towards $40,000 "
positive,"Bitcoin Has Climbed Above $40,000 Again—What's Next? "
negative,"Large bitcoin payment made to farright individuals before U.S. Capitol attack: report "
positive,"Crypto investment firm Grayscale sees 900% jump in assets to $20 billion amid bitcoin frenzy "
positive,"Man offers city $72M to dig up accidentally discarded Bitcoin fortune "
positive,"Why Bitcoin Is One Of The Most Undervalued Assets In 2021 "
positive,"Did Grayscale push Bitcoin back up to the $40K mark? "
positive,"Bitcoin Resumes Climb Causing Cryptos to Go Wild Today "
positive,"Is a new rally brewing as Bitcoin reclaims $38K and stablecoins 'flooding' exchanges? "
positive,"Bitcoin Price Spike Targets the $40K Handle, Crypto Economy Recaptures $1 Trillion Market Cap – Bitcoin News "
positive,"Goldman Sachs Sees Bitcoin Market Becoming More Mature – Markets and Prices Bitcoin News "
positive,"Block.one’s Bitcoin reserves are now worth double the entire EOS market cap "
negative,"ECB Chief Christine Lagarde Calls for Global Bitcoin Regulation — Says BTC Conducts 'Funny Business' – Regulation Bitcoin News "
positive,"Nigerian Youth Propels the Country to the Top of Google Bitcoin Search Rankings – Emerging Markets Bitcoin News "
positive,"Why is Bitcoin Price on the Rise? "
positive,"Popular Youtuber Ali Spagnola 'Accidentally Got Bitcoin Rich,' Decides to 'Pay It Forward' – News Bitcoin News "
positive,"Jack Dorsey Plugs Bitcoin During Tweets About Trump's Twitter Ban "
positive,"Meet Carl Runefelt  The master observer whose predictions on bitcoin mar "
negative,"$500K in Bitcoin sent from France to US farright groups "
negative,"Bitcoin bubble will pop sooner or later, says famous Russian BTC critic "
negative,"Bitcoin could be 'wiped out' if this happens  Ryan Giannotto "
negative,"Bitcoin: fool's gold or the new gold? "
negative,"Bitcoin Fee Wars Erupt as Upstart Targets Grayscale's Billions "
positive,"Biden And The Fed Embark On Fresh MultiTrillion Dollar Bitcoin ‘Marketing Campaign’ "
negative,"Help! Anyone remember my bitcoin password? "
positive,"5 REASONS WHY IT IS THE RIGHT TIME TO INVEST IN BITCOINS "